SOURCE;COUNTRY CODE;NAME;DESCRIPTION
BelSPO;BE;Federal Public planning Service - Science Policy ;"The BELSPO Science Policy is the federal administration responsible for the preparation and implementation of research programmes in several fields (fundamental research, sustainable development, social cohesion, information society, space technology…) aiming to develop a permanent knowledge resource within scientific and technical spheres at the service of the Federal Authority. The PPS Science Policy coordinates the Belgian participation to the management of European activities (6th Framework programme, COST, EUREKA, GMES, INTAS …) with the Belgian Communities and Regions.<BR>
The PPS Science Policy manages an annual budget of about 517 millions euros. It is also responsible for 10 Research Institutions (of which 2 are dealing with biodiversity research and collections).<BR>
Notwithstanding that the legal aspects of biodiversity are a regional competence, the PPS Science Policy is the only government body that has a specific multi annual research programme on biodiversity. This programme is developed within the framework of Co-operation agreements with the Regions and Communities in order to insure the necessary collaboration with the federated entities.<BR>
(The programme is implemented by calls for proposals open to universities and public research institutions. Since 2001, teams from European universities or public research institutions are able to join Belgian teams applying for funding and participate as a “minor” partner in the projects).<BR>
The yearly budget of the multi annual research programme on Biodiversity is approximately 2.5 million euros. The objective of the programme is to improve scientific understanding as a fundamental basis for sound decision-making. The programme covers biodiversity research of terrestrial (including freshwater) temperate ecosystems, the North Sea and the Antarctic ecosystems.
An additional budget of about 0.350 millions euros is yearly allocated for impulse of biodiversity research within the two Federal Institutions dealing with biodiversity issue.<BR>
The PPS Science Policy also provides a budget line for collaborating research activities (including possible biodiversity research) in the framework of bilateral agreements for economic, industrial, scientific and technological cooperation which Belgium has concluded with a number of countries (Bulgaria, China, Poland, Russia…).
The PPS Science Policy supports an important research programme for earth observation which aims at generalising use of satellite data as a source of information, notably for biodiversity related issues (land use characterisation, cartography...) and is funding the LUCC international project office.<BR>
Connected to biodiversity research activities, the PPS Science Policy is financing, with a budget of about 5 million euros/y, the four complementary research-based culture collections of micro-organisms (bacteria, fungi and yeasts on the one hand, and plasmids and cDNA libraries on the other hand) with research contracts on isolation, cultivation and identification of strains.
The PPS Science Policy is the supporting body of the Belgian node of the GBIF network.<BR>
The PPS Science Policy is the funding and administrating body of the Belgian Biodiversity Platform who’s aim is to support interdisciplinary research on biological diversity at national and international levels and to promote and facilitate interactions between biodiversity related policy and the scientific research..<BR>
PPS Science Policy – Annual budget spent on biodiversity research programmes: 2,85 million.<BR>
<b>PPS-Science Policy in BiodiveERsA</b><BR>
PPS-Science Policy will act as the coordinating body for Work Package 1 “ Information retrieval and dissemination on biodiversity research programmes ”. The PPS Science Policy, with the assistance of the Belgian Biodiversity Platform is currently setting-up an integrated Belgian Biodiversity Information Service combining biological, policy and IT expertise present in the different initiatives it is supporting (the Belgian Biodiversity Platform, the Belgian node of the GBIF, the CHM of the CBD, a catalogue of Belgian Biodiversity expertise). By this way, the PPS Science Policy intends to play a key role in providing simple and structured access to meta-data information, in managing and maintaining access to the resources, in interpretation, advising and analysing collated information. This integrated expertise combined with the broad representation of the Belgian Biodiversity platform on European and international fora, should be very helpful for the coordination of WP1."
Bio;GB;;
BNSF;BG;;
DEFRA;GB;The Department of the Environment, Food and Rural Affairs;"The Department for Environment, Food and Rural Affairs (Defra) is the UK government department responsible for leading the Government's approach to sustainable development, both across Government and specifically for the environment, the food industry and rural England. Most areas of Defra's work rely on science to underpin policy development, regulation and other activities. Defra's science builds on science, economics, policy evaluation and other types of evidence, to build a base for new and improved policies and evaluate progress against indicators of sustainable development.<BR>
Defra's Wildlife and Countryside Research Programme is designed to support three policy divisions:<BR>
<UL>
<LI>European Wildlife Division, whose main objective is to conserve and enhance the diversity and abundance of English wildlife in accordance with EU and international commitments.</LI>
<LI>Global Wildlife Division, whose mission is to press for effective protection measures for wildlife internationally, and to support that objective with efficient licensing and enforcement systems domestically.</LI>
<LI>Countryside (Recreation and Landscape) Division, whose main objective is to improve enjoyment of an attractive and well-managed countryside for all.</LI>
</UL>
<b>Biodiversity research and related</b><BR>
The budget of 6,000 000 € is based on an approximate calculation from the overall R&D expenditure across a wide variety of themes, some of which have biodiversity elements. Several programmes funded deal with biodiversity as The Centre for Environment, Fisheries and Aquaculture Science, The Darwin Initiative, The Rural Economy and Land Use Programme, UK Climate Impacts Programme."
EPA_IRL;IE;;
ESF;FR;;
EST_SF;EE;Estonian Science Foundation;"The Estonian Science Foundation (EstSF) is a research funding organization for basic and applied research, supporting all fields of science.<BR>
The EstSF, established in July 1990 by the Estonian Government, is an expert research-funding organization. Its main goal is to support the most promising research initiatives in all fields of basic and applied research. The EstSF uses state budget appropriations to award peer-reviewed research grants to individuals and research groups on a competitive basis. The highest decision-making body is a fifteen-member EstSF Council. Seven of the Council members are the representatives of research organizations and eight members are chairmen of expert commissions. The eight commissions include all together more than 80 researchers. The Estonian Minister of Education and Research nominates the EstSF Council.<BR>
The EstSF´s everyday activities are managed by a 2-member Board, which organizes the work of the EstSF office and is responsible for implementing the Council decisions.<BR>
Once a year research project proposals are submitted to the EstSF by Estonian or foreign researchers working permanently in Estonia. Several hundred top-level Estonian and foreign experts are engaged in the evaluation of the project proposals each year. The final decisions for financing are based on careful assessment of the applicants´ former scientific accomplishment as well as their current research plan.<BR>
In 2004, EstSF finances 737 research projects with the total budget of 88 milj. EEK (5.6 M€). This represents about 20% of the total Estonian public research funding.<BR>
EstSF has bilateral agreements for cooperation with the Academy of Finland, Lithuanian Foundation for Science and Studies and the Russian Foundation for Basic Research. EstSF is also a member of the European Science Foundation. Presently, EstSF is involved as a partner in the 6FP ERA-NET BONUS project (Bonus for Baltic Sea Science – Network of Funding Agencies) which started 15.12.2003. EstSF is administrating the French – Estonian Research Cooperation Programme “PARROT”. EstSF participates also in the Biodiversity EUROCORES scheme of ESF."
FCT;PT;Fundaço para a Ciência e a Tecnologia;"The Science and Technology Foundation - FCT Fundação para a Ciência e a Tecnologia is the Portuguese governmental agency for non-applied research funding and is integrated in the Ministry of Science and Higher Education. Its mission is mainly to manage, evaluate and fund research in all the fields of Science. The funding of research is done mainly by:<BR>
<UL>
<LI>Funding competitive proposals presented by institutions, research groups and individuals, on the basis of independent evaluations of merit, funding at the moment.</LI>
<LI>1 900 research projects in all fields of science, including biodiversity research.</LI>
<LI>Funding research and managing programmes in marine science including marine biodiversity.</LI>
<LI>Funding and managing of programmes for research on biodiversity conservation.</LI>
<LI>Funding through co-operation agreements and other forms of partnerships with universities and other public and private research institutions in a total of 350 institutions in all scientific fields including several institutions totally or partially dedicated to biodiversity research.</LI>
<LI>Funding for research fellowships in all fields of research: more than 4 000 research fellowships for Masters, PhD and Post-doctoral studies.</LI>
</UL>
FCT also provides the institutional framework for the Research Councils that were recently created in Portugal and started recently to discuss priorities for research. The Research Council for Environment and Marine Sciences will be in the future the main responsible for setting up priorities and propose specific research programs in Biodiversity research.<BR>
FCT is integrating the Portuguese Platform for Biodiversity that will bring together researcher from all major institutions that deal with biodiversity, NGOs, conservation practitioner and representatives of the Institute of Nature Conservation (Ministry of Environment). It has also offered support for the EPBRS secretariat.<BR>
In 2002 FCT had an overall budget of 194.6 million euros and it spends annually between 2 and 4 million euros in research projects dealing directly with Biodiversity."
FORMAS;SE;Swedish Research Council for Environment, Agricultural Sciences & Spatial Planning;"The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning, Formas (www.formas.se), is a governmental research-funding agency under the Ministry of Environment; it is also related to other ministries, especially the Ministry of Agriculture, the Ministry of Industry, Employment and Communications, and the Ministry of Education and Science.<BR>
Formas encourages and supports scientifically significant research related to sustainable development. In particular, this means supporting the environmental and agricultural sciences of forestry, horticulture, veterinary medicine, and food, fish and reindeer husbandry, as well as spatial planning that includes building sciences and community systems. Funded projects cover a wide range of approaches from basic research to more applied efforts. Formas encourages projects that promote cross- and interdisciplinary research within its areas of programme responsibility. Formas provides mechanisms for communicating research results and stimulates public debate on issues of concern that emerge from or are related to research for sustainable development.
Formas is partly responsible for Swedish involvement with the 5th and 6th Framework Programmes of the EU. It represents Sweden in several IEA programmes and annexes, and promotes Nordic research cooperation within its areas of programme responsibility. Formas is also the Swedish member of the International Institute for Applied System Analysis (IIASA).<BR>
Formas research funding is primarily bottom-up. All funding decisions are based on scientific peer-reviews of the applicants and their research proposals. Scientific committees that mainly constitute of active researchers read, evaluate and rank the projects. The board of Formas makes the final funding decisions.<BR>
Formas has several types of research funding for different purposes. For instance, it supports research projects, research programmes, and centres of excellence, post-doc fellowships, researcher training, and international cooperation. The total annual research budget is 60 million euros, of which ca 12 are related to biodiversity. The following aspects have been put forward if Formas´ calls within biodiversity: status and change in biodiversity, the role of biodiversity for ecosystem functioning, abiotic and biotic factors decisive for biodiversity, measures to conserve or restore biodiversity, and the role and management of biodiversity in a sustainable development."
FRB;FR;Fondation pour la Recherche sur la Biodiversité;"The French Foundation for Research on Biodiversity (FRB) is a foundation for scientific cooperation created in February 2008 by 8 major national research institutions, with support from the Ministries of Research and Environment. FRB took over the responsibilities of the Institut français de la biodiversité (IFB) and of the Bureau of genetic resources (BRG), with a view to widen their scope of action. The FRB is composed of a board, a scientific committee and a steering committee involving various stakeholders (including CSOs, private companies, seed associations and local authorities). A core team of about 20 staff members implement the planned activities.<BR>FRB’s core mission is to promote and coordinate research on biodiversity at the national level and to support the dissemination of research outcomes to stakeholders and end-users. FRB is involved in the preparation and management of the national biodiversity programme run by the ANR, and will cooperate in programmes run by its member organizations and by MEEDDAT. FRB also cooperates with civil society and business organizations and has a mandate to coordinate French research activities with European and international programmes and initiatives.<BR>The resources are constituted by the contributions of the members and budget from the Ministry for Research. The net annual budget (free of salaries) is circa 2 million Euros. The personnel, seconded by the member institutions, includes 17 staff members and 3 secretaries.<BR>The members of FRB (France):
<UL>
<LI>BRGM (Bureau des recherches géologiques et minières)</LI>
<LI>CEMAGREF (Centre national du machinisme agricole, du génie rural, des eaux et forêt)</LI>
<LI>CIRAD (Centre de coopération internationale en recherche agronomique pour le développement)</LI>
<LI>CNRS (Centre national de la recherche scientifique)</LI>
<LI>IFREMER (Institut français de recherche pour l’exploitation de la mer)</LI>
<LI>INRA (Institut national de la recherche agronomique)</LI>
<LI>IRD (Institut de recherche pour le développement)</LI>
<LI>MNHN (Muséum national d’Histoire naturelle)</LI>
</UL>"
